,geneID,x,y,MIDCounts,newx,newy
10729803,Cd74,12833,8922,2,9608,2747
10729804,Cd74,10497,8175,1,7272,2000
10729805,Cd74,11853,7475,1,8628,1300
10729806,Cd74,7402,17858,3,4177,11683
10729807,Cd74,5698,9266,1,2473,3091
10729808,Cd74,6720,15554,1,3495,9379
10729809,Cd74,4455,11189,1,1230,5014
10729810,Cd74,10097,16781,1,6872,10606
10729811,Cd74,13069,13335,2,9844,7160
10729812,Cd74,11932,13273,2,8707,7098
10729813,Cd74,10209,16804,1,6984,10629
10729814,Cd74,11799,15051,1,8574,8876
10729815,Cd74,5687,9263,1,2462,3088
10729816,Cd74,5784,10937,1,2559,4762
10729817,Cd74,5240,13793,2,2015,7618
10729818,Cd74,6228,9247,1,3003,3072
10729819,Cd74,7886,14657,1,4661,8482
10729820,Cd74,7006,14027,1,3781,7852
10729821,Cd74,6249,9285,1,3024,3110
10729822,Cd74,5124,11606,1,1899,5431
10729823,Cd74,10220,15819,1,6995,9644
10729824,Cd74,10950,6853,1,7725,678
10729825,Cd74,8198,17096,1,4973,10921
10729826,Cd74,13318,11659,1,10093,5484
10729827,Cd74,12680,12447,1,9455,6272
10729828,Cd74,9141,13603,1,5916,7428
10729829,Cd74,8459,13221,1,5234,7046
10729830,Cd74,10276,15617,1,7051,9442
10729831,Cd74,8258,18362,1,5033,12187
10729832,Cd74,7745,10779,1,4520,4604
10729833,Cd74,6471,15429,1,3246,9254
10729834,Cd74,10907,7806,2,7682,1631
10729835,Cd74,5565,9324,1,2340,3149
10729836,Cd74,4750,12199,1,1525,6024
10729837,Cd74,9695,17958,1,6470,11783
10729838,Cd74,7669,6345,1,4444,170
10729839,Cd74,7421,10411,1,4196,4236
10729840,Cd74,11166,14849,1,7941,8674
10729841,Cd74,8420,6493,2,5195,318
10729842,Cd74,8845,6515,1,5620,340
10729843,Cd74,10232,17647,1,7007,11472
10729844,Cd74,5692,9267,2,2467,3092
10729845,Cd74,8722,15035,1,5497,8860
10729846,Cd74,4784,13399,1,1559,7224
10729847,Cd74,6211,9275,1,2986,3100
10729848,Cd74,11686,7670,1,8461,1495
10729849,Cd74,6538,16456,1,3313,10281
10729850,Cd74,10973,16668,1,7748,10493
10729851,Cd74,5900,9169,1,2675,2994
10729852,Cd74,7822,12397,1,4597,6222
10729853,Cd74,4550,13775,1,1325,7600
10729854,Cd74,6611,8226,1,3386,2051
10729855,Cd74,12992,9688,1,9767,3513
10729856,Cd74,7380,15126,1,4155,8951
10729857,Cd74,6662,17796,1,3437,11621
10729858,Cd74,5718,9668,1,2493,3493
10729859,Cd74,6139,15643,1,2914,9468
10729860,Cd74,8011,10067,1,4786,3892
10729861,Cd74,9122,13981,1,5897,7806
10729862,Cd74,4145,10237,1,920,4062
10729863,Cd74,10468,7302,1,7243,1127
10729864,Cd74,12296,9313,1,9071,3138
10729865,Cd74,11094,7955,2,7869,1780
10729866,Cd74,4158,10347,3,933,4172
21383930,F13a1,5292,14911,1,2067,8736
21383931,F13a1,12931,10247,1,9706,4072
21383932,F13a1,6401,13765,1,3176,7590
21383933,F13a1,6885,15526,1,3660,9351
21383934,F13a1,11571,8367,1,8346,2192
21383935,F13a1,6462,9089,1,3237,2914
21383936,F13a1,8448,7124,1,5223,949
21383937,F13a1,10405,9656,1,7180,3481
21383938,F13a1,8240,6839,1,5015,664
21383939,F13a1,8811,16322,1,5586,10147
21383940,F13a1,5558,9449,1,2333,3274
21383941,F13a1,7449,9048,2,4224,2873
21383942,F13a1,10000,6877,4,6775,702
21383943,F13a1,10607,17040,1,7382,10865
21383944,F13a1,13274,12753,1,10049,6578
21383945,F13a1,8434,16053,3,5209,9878
21383946,F13a1,8748,14066,1,5523,7891
21383947,F13a1,5037,10612,1,1812,4437
21383948,F13a1,4326,12941,2,1101,6766
21383949,F13a1,4528,12043,3,1303,5868
21383950,F13a1,11570,9023,4,8345,2848
21383951,F13a1,6177,15505,1,2952,9330
21383952,F13a1,6393,7485,2,3168,1310
21383953,F13a1,11567,9018,4,8342,2843
21383954,F13a1,9672,7233,1,6447,1058
21383955,F13a1,7910,14680,1,4685,8505
21383956,F13a1,11109,10725,3,7884,4550
21383957,F13a1,5866,14341,2,2641,8166
21383958,F13a1,8509,16472,2,5284,10297
21383959,F13a1,8623,9564,2,5398,3389
21383960,F13a1,6219,11502,3,2994,5327
21383961,F13a1,12521,12700,1,9296,6525
21383962,F13a1,9367,10964,1,6142,4789
21383963,F13a1,7143,18570,2,3918,12395
21383964,F13a1,9755,12223,1,6530,6048
21383965,F13a1,11888,15636,3,8663,9461
21383966,F13a1,6510,16776,1,3285,10601
21383967,F13a1,9033,8587,1,5808,2412
21383968,F13a1,11248,7072,2,8023,897
21383969,F13a1,8162,14885,1,4937,8710
21383970,F13a1,7372,6372,1,4147,197
21383971,F13a1,6603,16244,2,3378,10069
21383972,F13a1,10414,7236,1,7189,1061
21383973,F13a1,6396,7483,1,3171,1308
21383974,F13a1,10087,11899,3,6862,5724
21383975,F13a1,7374,6244,3,4149,69
21383976,F13a1,8596,19025,1,5371,12850
21383977,F13a1,10032,12272,3,6807,6097
21383978,F13a1,10079,16378,1,6854,10203
21383979,F13a1,8422,8124,1,5197,1949
21383980,F13a1,8340,18771,1,5115,12596
21383981,F13a1,6987,6554,1,3762,379
21383982,F13a1,7346,19641,3,4121,13466
21383983,F13a1,9557,9644,1,6332,3469
21383984,F13a1,6887,15521,2,3662,9346
21383985,F13a1,7063,6564,1,3838,389
21383986,F13a1,7185,6318,4,3960,143
21383987,F13a1,6672,9488,1,3447,3313
21383988,F13a1,9449,10461,1,6224,4286
21383989,F13a1,6425,7342,2,3200,1167
21383990,F13a1,13067,9546,1,9842,3371
