"","barcodes","clusters"
"367","aconjmph-1","15_MES"
"368","acpbimck-1","13_PCT-TAL"
"369","acpcchli-1","16_PEC"
"370","acpfgfeg-1","15_MES"
"371","acpmogff-1","15_MES"
"372","acpobndj-1","22_MES"
"373","acpoipei-1","15_MES"
"374","adaanibo-1","13_PCT-TAL"
"375","adabbanc-1","15_MES"
"376","adacmpgf-1","23_LEU"
"377","adaeiphm-1","15_MES"
"378","adajlnof-1","15_MES"
"379","adakdkkp-1","13_PCT-TAL"
"380","adakocha-1","10_ENDO"
"381","adallgbk-1","10_ENDO"
"382","adamhdmf-1","9_LOH"
"383","adanjjgf-1","15_MES"
"384","adankbpk-1","15_MES"
"385","adapppmg-1","15_MES"
"386","adbcbejo-1","15_MES"
"387","adbedcfo-1","15_MES"
"388","adbjeeaf-1","10_ENDO"
"389","adboakon-1","5_PC"
"390","adcbjejm-1","18_LOH"
"391","adcehhhl-1","10_ENDO"
"392","adcfhioc-1","5_PC"
"393","adchinil-1","0_TAL"
"394","adchkcmm-1","16_PEC"
"395","adcifiij-1","5_PC"
"396","adcjacil-1","13_PCT-TAL"
"397","adcmkbgj-1","2_PCT"
"398","adcnbjim-1","2_PCT"
"399","adcpcipo-1","2_PCT"
"400","addafhei-1","2_PCT"
"401","addbanib-1","15_MES"
"402","addcemoe-1","15_MES"
"403","addfhjjl-1","15_MES"
"404","addfnihm-1","13_PCT-TAL"
"405","addihjdh-1","2_PCT"
"406","addmmego-1","15_MES"
"407","addonkbl-1","15_MES"
"408","adebllgc-1","15_MES"
"409","adedjlhc-1","13_PCT-TAL"
"410","adefelel-1","15_MES"
"411","adehilah-1","13_PCT-TAL"
"412","adehpmhi-1","13_PCT-TAL"
"413","adejdkjk-1","23_LEU"
"414","adeknhda-1","10_ENDO"
"415","adelalel-1","15_MES"
"416","ademmagj-1","5_PC"
"417","adeofeci-1","5_PC"
"418","adfafbgf-1","9_LOH"
"419","adfanoln-1","9_LOH"
"420","adfbmgfm-1","7_TAL"
"421","adfekjnp-1","7_TAL"
"422","adfencld-1","3_PCT"
"423","adfmnimc-1","3_PCT"
"424","adfnnaea-1","15_MES"
"425","adfnpplc-1","9_LOH"
"426","adgcbogb-1","22_MES"
"427","adgcmahh-1","12_POD"
"428","adgdhejo-1","12_POD"
"429","adggjfbb-1","12_POD"
"430","adgmapda-1","16_PEC"
"431","adgnhmhi-1","16_PEC"
"432","adgnlkki-1","12_POD"
"433","adhbpiph-1","15_MES"
"434","adhcfkcb-1","15_MES"
"435","adhcfoco-1","15_MES"
"436","adhlgjkd-1","15_MES"
"437","adhpacoi-1","15_MES"
"438","adiagflj-1","15_MES"
"439","adicfifh-1","15_MES"
"440","adicnegh-1","23_LEU"
"441","adidnmoe-1","15_MES"
"442","adieoebe-1","23_LEU"
"443","adihcalp-1","15_MES"
"444","adikmnbg-1","15_MES"
"445","adimanpi-1","15_MES"
"446","adinlhmi-1","15_MES"
"447","adiogdha-1","15_MES"
"448","adipldci-1","23_LEU"
"449","adjbjbig-1","10_ENDO"
"450","adjhenmn-1","10_ENDO"
"451","adjknime-1","10_ENDO"
"452","adjlgfmi-1","10_ENDO"
"453","adjpehab-1","10_ENDO"
"454","adkbkcei-1","10_ENDO"
"455","adkcgkji-1","10_ENDO"
"456","adkdlnnf-1","23_LEU"
"457","adkejkbi-1","15_MES"
"458","adkidhaf-1","15_MES"
"459","adkiidbm-1","2_PCT"
"460","adklifhp-1","15_MES"
"461","adklomel-1","15_MES"
"462","adkninnc-1","13_PCT-TAL"
"463","adkoimlc-1","23_LEU"
"464","adldpbjd-1","23_LEU"
"465","adleaeao-1","15_MES"
"466","adlfacib-1","2_PCT"
"467","adlgjnlb-1","15_MES"
"468","adlgooie-1","15_MES"
"469","adlmkkoh-1","9_LOH"
"470","adlnagaj-1","2_PCT"
"471","adloijbc-1","13_PCT-TAL"
"472","admbnnmb-1","15_MES"
"473","admdehkh-1","9_LOH"
"474","admeoohk-1","15_MES"
"475","admgpodj-1","15_MES"
"476","admmignp-1","15_MES"
"477","admoejnc-1","2_PCT"
"478","adnajfjl-1","12_POD"
"479","adndlahc-1","23_LEU"
"480","adngpnho-1","23_LEU"
"481","adnhccdn-1","15_MES"
"482","adnhonon-1","0_TAL"
"483","adnjjaef-1","13_PCT-TAL"
"484","adnkcgai-1","13_PCT-TAL"
"485","adnljchg-1","13_PCT-TAL"
"486","adnnoile-1","0_TAL"
"487","adnobelg-1","0_TAL"
"488","adnogcnd-1","10_ENDO"
"489","adocbjfi-1","0_TAL"
